ID,adsorbent_name,SMILES,category
1,Benzene,c1ccccc1,Carbon_Model
2,Naphthalene,c1ccc2ccccc2c1,Carbon_Model
3,Anthracene,c1ccc2cc3ccccc3cc2c1,Carbon_Model
4,Pyrene,c1cc2ccc3cccc4ccc(c1)c2c34,Carbon_Model
5,Phenol,Oc1ccccc1,Oxygen_Functionalized
6,Catechol,Oc1ccccc1O,Oxygen_Functionalized
7,Resorcinol,Oc1cccc(O)c1,Oxygen_Functionalized
8,Hydroquinone,Oc1ccc(O)cc1,Oxygen_Functionalized
9,Terephthalic_acid,O=C(O)c1ccc(C(=O)O)cc1,Oxygen_Functionalized
10,Trimesic_acid,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,Oxygen_Functionalized
11,1-Hexanol,CCCCCCO,Aliphatic_Oxygen
12,Aniline,Nc1ccccc1,Amine_Functionalized
13,Diphenylamine,c1ccc(Nc2ccccc2)cc1,Amine_Functionalized
14,Triphenylamine,c1ccc(N(c2ccccc2)c3ccccc3)cc1,Amine_Functionalized
15,Octylamine,CCCCCCCCN,Aliphatic_Amine
16,Pyridine,c1ccncc1,Nitrogen_Heterocycle
17,Pyrrole,c1cc[nH]c1,Nitrogen_Heterocycle
18,Imidazole,c1c[nH]cn1,Nitrogen_Heterocycle
19,Indole,c1ccc2c(c1)cc[nH]2,Nitrogen_Heterocycle
20,Benzimidazole,c1ccc2c(c1)nc[nH]2,Nitrogen_Heterocycle
21,Urea,NC(=O)N,Amine_Functionalized
22,Thiourea,NC(=S)N,Sulfur_Functionalized
23,Melamine,Nc1nc(N)nc(N)n1,Nitrogen_Heterocycle
24,18-Crown-6,C1COCCOCCOCCOCCOCCO1,Macrocycle
25,4-tert-Butylphenol,CC(C)(C)c1ccc(O)cc1,Oxygen_Functionalized
